country,year,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,"GINI index (World Bank estimate), average 2000-13",child,healthExp,publicEdu,ave_visitor,income,homicide,ecoFree,uniEnro,area,alcohol,unemploy,food,suicide,visitor
Lao People's Democratic Republic,2012,4.876084805,8.411408424,,0.692627907,56.3509903,0.240432337,0.363966667,74,31,2.8,9.926343154,1066,7.3,50,17.1,230800,5.39,1.399999976,2356,8.8,2291000
Latvia,2012,5.125025272,9.92732811,0.191219807,0.851195216,64.80504608,-0.044212423,0.359145455,8.7,827,4.6,23.07073955,12805,4.8,65.2,65.6,62200,10.21,14.89999962,3293,16.2,1435000
Lebanon,2012,4.572566986,9.71556282,0.2,0.712611496,68.86749268,-0.015579774,,9.3,626,2.2,133.5288368,8008,3.9,60.1,45.6,10230,1.53,6.199999809,3181,0.9,1366000
Libya,2012,5.754394054,10.02394676,,0.854930937,61.14096069,-0.062927842,,15.1,655,,0,8878,2.5,35.9,,1759540,0,19.20000076,,1.8,0
Lithuania,2012,5.771037102,10.07417297,0.145729542,0.918690145,64.88002777,-0.281597167,0.343476923,5.6,940,4.8,30.31560137,13277,6.7,71.5,77.2,62674,15.14,13.19999981,3463,28.2,1900000
Luxembourg,2012,6.964097023,11.38689804,0.743670523,0.913907707,71.46674347,0.042846926,0.317611111,2.1,7551,2.2,366.7953668,76825,0,74.5,19.4,2590,11.34,5.099999905,3568,8.7,950000
Macedonia,2012,4.639647484,9.35610199,0.369646579,0.798305035,65.15873718,-0.086337939,0.394657143,7.4,319,,13.91752577,4532,1,68.5,40.8,25220,,,,,351000
Madagascar,2012,3.550609589,7.225627422,0.350055397,0.673088312,55.21197128,-0.043723658,0.423166667,55.5,15,2.7,0.440017532,396,0.6,62.4,4.1,581795,0.87,3.599999905,2058,11,256000
Malawi,2012,4.279269695,6.619502068,0.471810192,0.603725672,50.8900795,0.195974991,0.42995,77.3,33,5.4,8.167161646,462,1.8,56.4,0.8,94280,1.23,7.599999905,2334,16,770000
Malaysia,2012,5.914283752,10.03040218,0.761775732,0.841218948,64.36611176,-0.00298468,0.461033333,7.7,422,5.8,76.19236037,9396,2,66.4,37.2,328550,0.53,3,2855,3,25033000
Mali,2012,4.313016891,7.3024683,0.486437917,0.823435068,48.08000183,-0.064133003,0.3728,127,43,4.2,0.109818963,649,10.2,55.8,6.9,1220190,0.61,8.100000381,2833,4.8,134000
Malta,2012,5.962872028,10.24959373,0.498758078,0.921752036,70.77765656,0.342180848,,6.7,2217,6.8,4509.375,20736,2.9,67,45.5,320,7.67,6.400000095,3389,6,1443000
Mauritania,2012,4.673203945,8.156980515,0.383974999,0.763332725,52.62998581,-0.001022628,0.388933333,92.7,43,3,0,1217,11.4,53,5.2,1030700,0.01,31.10000038,2791,2.9,0
Mexico,2012,7.320185184,9.688825607,0.3614088,0.767279446,67.31216431,-0.098337546,0.4884875,15.3,633,5.2,12.03888989,9302,21.3,65.3,28.3,1943950,5.29,4.900000095,3049,4.2,23403000
Republic of Moldova,2012,5.995712757,8.330985069,0.21462217,0.826219797,60.95330811,0.000434954,0.339307143,16.7,243,8.3,0.334855403,1924,5.6,54.4,40.1,32850,,5.599999905,2837,13.7,11000
Mongolia,2012,4.885150433,9.191090584,0.310268313,0.918516099,61.44493866,0.092367247,0.33884,26.2,185,4.6,0.306393059,3098,7.1,61.5,58.7,1553560,5.8,5,2463,9.8,476000
Montenegro,2012,5.218724251,9.533634186,0.355399817,0.704032779,64.82752991,-0.193067625,0.305788889,5.7,470,,93.97769517,6813,2.7,62.5,55.3,13450,,19.60000038,3568,15.3,1264000
Morocco,2012,4.969656467,8.832536697,0.525867641,0.67582494,63.03160858,-0.198198915,0.4068,30.7,179,5.3,21.00604974,2955,1.2,60.2,19.3,446300,0.55,9,3334,5.3,9375000
Myanmar,2012,4.438939571,7.68,,0.612249672,56.50580978,,,55.3,24,,1.621025884,1037,2.5,,13.5,653290,0.55,3.299999952,2565,13.1,1059000
Nepal,2012,4.233244896,7.65670681,0.439799935,0.733602345,59.71434784,0.083691783,0.38005,40.9,38,4.7,5.601674224,636,3,50.2,14.4,143350,0.26,2.700000048,2655,24.9,803000
Netherlands,2012,7.470715523,10.73047543,0.574513912,0.938884676,71.0919342,0.273785055,0.294344444,4.2,5456,5.5,346.3819692,51242,0.9,73.3,78.5,33720,9.05,5.300000191,3147,8.2,11680000
New Zealand,2012,7.249629974,10.39835835,0.61469996,0.930028617,71.25901031,0.277252704,0.36,6,4471,7.3,9.391971441,33432,0.9,82.1,80.8,263310,9.2,6.900000095,3170,9.6,2473000
Nicaragua,2012,5.448006153,8.386593819,0.573395669,0.894054413,65.06298065,0.021970898,0.431,24.4,143,3.5,9.805550939,1616,11.5,57.9,7.7,120340,3.63,7.099999905,2564,10,1180000
Niger,2012,3.798088312,6.765357018,0.534528375,0.700107574,50.90893173,-0.040968832,0.377266667,109.6,23,4.3,0.074208573,364,4.5,54.3,1.7,1266700,0.15,5.099999905,2546,3.5,94000
Nigeria,2012,5.492954254,8.577257156,0.303561687,0.817579567,44.38574219,0.056727454,0.41515,120.9,90,,0.533614414,2283,10.1,56.3,10.4,910770,8.54,7.5,2665,6.5,486000
Norway,2012,7.678277016,11.0606842,0.663340509,0.947657406,70.52483368,0.117872901,0.277977778,3,9361,7.4,12.42453695,89346,0.5,68.8,73.3,365245,6.21,3.200000048,3484,9.1,4538000
Pakistan,2012,5.131565094,8.384858131,0.228680417,0.542038023,56.61761856,0.15236944,0.31306,87.8,33,2.1,1.253113325,1118,7.8,54.7,9.9,770880,0.04,5.099999905,2434,9.3,966000
Panama,2012,6.859835625,9.79269886,0.361556232,0.89739114,67.20626068,0.006124189,0.540692857,18.7,735,3.3,21.60344364,8839,17.5,65.2,44.1,74340,6.95,4,2703,4.7,1606000
Paraguay,2012,5.820058346,8.89733696,0.296063691,0.931004941,62.96680069,0.215837404,0.522315385,22.6,398,5,1.457337025,3013,10.2,61.8,35.1,397300,5.36,4.900000095,2591,6.1,579000
Peru,2012,5.824557304,9.291984558,0.272202104,0.764071584,64.43978119,-0.089913025,0.496035714,19.1,331,2.9,2.2234375,5171,9.5,68.7,40.5,1280000,5.14,3.599999905,2682,3.2,2846000
Philippines,2012,5.001965046,8.706453323,0.758208573,0.812921703,59.13658524,0.048050828,0.44072,30.4,116,2.9,14.33075091,2766,8.8,57.1,31.3,298170,5.02,7,2584,2.9,4273000
Poland,2012,5.87593174,10.03765869,0.268628746,0.935923874,66.82385254,-0.03693321,0.3377,5.3,870,4.8,48.46030761,12943,0.1,64.2,72.8,306230,10.81,10.10000038,3485,16.6,14840000
Portugal,2012,4.993962288,10.1640234,0.230625153,0.86603862,70.45056152,-0.10559462,0.368822222,3.8,2000,5.1,81.91942352,20840,1.2,63,68.6,91590,11.96,15.60000038,3456,8.2,7503000
Qatar,2012,6.611298561,11.79789639,,0.838131666,67.33519745,0.110088773,0.411,8.6,2032,3.5,202.0671835,67759,7.2,71.3,11.9,11610,1.13,0.5,,4.6,2346000
Romania,2012,5.166874886,9.787887573,0.236376286,0.740043104,66.41331482,-0.115293927,0.304484615,12.5,468,2.9,34.48320806,8369,1.9,64.4,54.5,230170,9.58,7,3363,10.5,7937000
Russia,2012,5.620735645,10.05617428,0.452001721,0.901295125,62.20749664,-0.30323863,0.404315385,10.8,963,4.2,1.720536342,11116,9.2,50.5,76.1,16376870,10.99,5.5,,19.5,28177000
Rwanda,2012,3.333047867,7.302061081,,0.637147248,53.13792419,-0.000249257,0.506433333,52.1,51,4.8,33.03607621,610,4.2,64.9,6.6,24670,8.34,0.600000024,2148,11.9,815000
Saudi Arabia,2012,6.396359444,10.79610062,,0.867100954,63.30318069,-0.144847408,,16,961,5.1,7.597374505,21042,6.2,62.5,48.6,2149690,0.09,5.599999905,3122,0.4,16332000
Senegal,2012,3.668736935,7.688932896,0.645107508,0.711077392,56.13341141,-0.01904407,0.402433333,55.9,44,5.5,4.996623903,984,7.9,55.4,7.4,192530,0.28,10.30000019,2426,5.4,962000
Serbia,2012,5.154521942,9.433867455,0.223251179,0.819430411,64.85837555,-0.13191402,0.308422222,7.1,560,4.4,9.261376629,5310,1.2,58,53.5,87460,9.38,23.89999962,2724,12.4,810000
Singapore,2012,6.53320694,11.26087952,0.856165767,0.807910562,75.40146637,0.094115898,0.4248,2.8,2310,3.1,15764.20455,47499,0.2,87.5,,704,1.89,2.799999952,,7.4,11098000
Slovak Republic,2012,5.91105938,10.14672375,0.368380159,0.925751448,67.09675598,-0.04252696,0.274877778,7.9,1377,3.9,129.6581268,16976,1.4,67,56,48088,10.12,13.89999962,2902,10.1,6235000
Slovenia,2012,6.062891006,10.22847271,0.238065988,0.924753785,70.10884094,-0.027444452,0.262336364,3,2069,5.7,107.0506455,22701,0.7,62.9,86.3,20140,10.95,8.800000191,3173,12.4,2156000
Somalia,2012,5.057314396,6.76,0.651241541,0.786291242,,,,150.6,15,0.8,0,316,5.6,,,627340,0,6.900000095,,12.4,0
South Africa,2012,5.133887768,9.423396111,0.425877452,0.906595111,48.49176407,-0.174450591,0.622375,47.7,661,6.4,7.574046443,7362,30.8,62.7,19,1213090,7.38,25,3007,3,9188000
Republic of Korea,2012,6.003286839,10.37039471,0.230812564,0.77539736,73.19233704,-0.060466178,0.32,3.8,1715,4.6,114.5736912,23446,0.8,69.9,97.1,97230,9.56,3.200000048,3329,28.9,11140000
Spain,2012,6.290690422,10.36271954,0.339146554,0.937023342,73.37998199,-0.071407028,0.344866667,4.4,2651,4.4,114.9555893,29304,0.8,69.1,85.5,499880,9.35,25.20000076,3183,5.1,57464000
Sri Lanka,2012,4.224593163,9.213100433,0.777017355,0.824357271,64.19230652,0.153277189,0.388675,10.4,93,1.5,16.04209855,3229,3.3,58.3,17.2,62710,2.8,4,2512,28.8,1006000
Sudan,2012,4.550499439,8.243685722,,0.812500715,52.85883331,-0.056496911,0.3539,76.3,113,2.2,0.242003367,1590,6.5,,14.9,2376000,2.01,14.60000038,2346,17.2,575000
Suriname,2012,6.269286633,9.644317627,0.72176528,0.797262073,60.69112778,-0.081600539,0.53,23.4,577,,1.538461538,8568,9.5,52.6,,156000,5.73,6.300000191,2727,27.8,240000
Sweden,2012,7.560147762,10.67504883,0.626497209,0.929397464,71.74086761,0.117637143,0.268922222,3,6522,7.7,12.54081981,54221,0.7,71.7,69.6,410340,7.4,8.100000381,3160,11.1,5146000
Switzerland,2012,7.776208878,10.90745068,0.769940197,0.94686389,72.73400116,0.125867471,0.3293,4.3,9196,5.1,216.7729527,76415,0.6,81.1,55.5,39516,9.86,4.199999809,3487,9.2,8566000
Syrian Arab Republic,2012,3.164491177,8.609065056,,0.588395178,64.82252502,0.305268973,0.3577,16,71,5,0,316,51.2,51.2,31.8,183630,0.76,11.39999962,,0.4,0
Tajikistan,2012,4.496571541,7.759257793,,0.728590906,61.02968597,-0.06918785,0.3232,49.3,61,4,1.743355244,1032,1.3,53.4,22.4,139960,0.32,11.10000038,2101,4.2,244000
Tanzania,2012,4.006897449,7.717731953,0.414645106,0.832056403,54.14896393,0.208817542,0.384533333,55.7,46,4.5,1.177466697,743,7.9,57,3.9,885800,3.98,3.200000048,2192,24.9,1043000
Thailand,2012,6.300235271,9.588583946,0.702815235,0.906098127,65.18327332,0.368961126,0.40505,13.5,336,4.5,43.75501576,5259,4.9,64.9,51.6,510890,6.56,0.699999988,2784,11.4,22354000
Tunisia,2012,4.463531017,9.26241684,0.435219467,0.614422798,64.25892639,-0.191534013,0.381166667,15.8,298,6.2,38.29814624,3979,3.1,58.6,35.2,155360,1.3,14,3362,2.4,5950000
Turkey,2012,5.309076309,9.799918175,0.53099966,0.739280581,64.88078308,-0.215983421,0.400836364,16.5,555,3,46.38332705,10763,4.3,62.5,69.3,769630,1.54,9.199999809,3680,7.9,35698000
Turkmenistan,2012,5.463827133,9.430281639,,0.945841253,58.05474472,-0.148015648,0.4077,56.5,133,3,0,4103,4.3,43.8,12.2,469930,2.75,10.80000019,2883,19.6,0
Uganda,2012,4.309237957,7.418066502,0.396223307,0.884721696,49.08613205,0.095258117,0.4367,64.1,53,2.7,5.969479354,635,11.5,61.9,4.5,200520,10.22,4.199999809,2279,19.5,1197000
Ukraine,2012,5.030342102,9.026292801,0.236936122,0.897573471,62.95043945,-0.204490617,0.270533333,10.6,290,6.7,39.72415936,3103,5,46.1,82.1,579320,8.44,7.5,3142,16.8,23013000
United Arab Emirates,2012,7.217766762,11.00320816,,0.855876803,67.90286255,0.044025645,,7.8,1433,,0,35927,0.8,69.3,16.6,83600,1.75,4,3215,3.2,0
United Kingdom,2012,6.880784035,10.51230335,0.421262175,0.934574962,70.91662598,0.360155404,0.346311111,4.8,3649,5.8,121.0350101,39174,1,74.1,59.2,241930,10.42,8,3414,,29282000
United States of America,2012,7.026226997,10.83070183,0.348855615,0.903192282,69.7709198,0.197222337,0.4087,7.1,8790,5.2,7.28697272,50044,4.7,76.3,94.8,9147420,8.82,8.199999809,3639,12.1,66657000
Uruguay,2012,6.449728489,9.822230339,0.584287286,0.864693701,67.72481537,0.053200379,0.454071429,11.6,1322,4.4,15.3982402,12526,7.9,69.9,63.1,175020,5.77,6.5,2939,12.1,2695000
Uzbekistan,2012,6.019331932,8.456280708,,0.933141291,60.20788574,-0.036956705,0.348033333,43.2,116,,0,1591,3.2,45.8,8.9,425400,2.83,10.80000019,2675,8.5,0
Venezuela (Bolivarian Republic of),2012,7.066577435,9.781422615,0.539273024,0.931629658,64.1986618,-0.205923513,0.497116667,16.1,613,5,1.120117907,14073,53.8,38.1,77,882050,6.7,8.100000381,2880,2.6,988000
Vietnam,2012,5.53456974,8.499502182,0.856453717,0.775008678,65.65843964,-0.107827447,0.385766667,23.5,120,6.3,22.08533557,1400,1.5,51.3,25,310070,4.12,1.799999952,,5,6848000
Yemen,2012,4.060600758,8.191208839,0.598434687,0.681678295,53.43240356,-0.171732664,0.3589,48.4,74,4.6,1.655397087,1233,6.5,55.3,10,527970,0.04,17.70000076,2231,3.7,874000
Zambia,2012,5.013374805,8.160748482,0.594113767,0.780022562,50.17197418,0.000321759,0.516475,74.4,83,1.5,1.155517292,1358,5.5,58.3,2,743390,2.59,13.10000038,1923,15.7,859000
Zimbabwe,2012,4.955100536,7.407775402,0.407083839,0.896476209,45.31914902,-0.059616093,0.4315,78.5,57,2,4.637456378,738,6.7,26.3,5.9,386850,6.09,5.300000191,2197,18.1,1794000
